Date,Time,LogLevel,Source,EventID,EventType,Message
2025-06-28,08:13:00,Information,Security,4663,Object Access,User JohnDoe logged back in after lunch.
2025-06-28,08:25:00,Information,Security,4624,Logon,User JaneSmith logged off and ended session.
2025-06-28,08:28:00,Information,Security,4634,Logoff,User KRivera Special privileges assigned to new logon.
2025-06-28,08:45:00,Information,Security,4663,Object Access,User MLopez logged off for lunch.
2025-06-28,09:11:00,Information,Security,4672,Special Logon,User JaneSmith logged on successfully.
2025-06-28,09:28:00,Information,Security,4624,Logon,User MLopez logged off for lunch.
2025-06-28,09:30:00,Information,Security,4624,Logon,User JohnDoe opened CRM application to update client records.
2025-06-28,09:52:00,Information,Security,4634,Logoff,User MLopez saved updates to \\Server\Sales\Forecast_2025.xlsx
2025-06-28,10:06:00,Information,Security,4663,Object Access,User MLopez downloaded a training manual from the company intranet.
2025-06-28,10:24:00,Information,Security,4663,Object Access,User JaneSmith resumed editing \\Server\Legal\Contract_Template.docx
2025-06-28,10:31:00,Information,Security,4634,Logoff,User JohnDoe saved updates to \\Server\Finance\Q2_Report.xlsx
2025-06-28,10:44:00,Information,Security,4624,Logon,User AJackson saved updates to \\Server\Sales\Forecast_2025.xlsx
2025-06-28,10:52:00,Information,Security,4663,Object Access,User JohnDoe edited sales forecast spreadsheet \\Server\Legal\Contract_Template.docx
2025-06-28,11:11:00,Information,Security,4624,Logon,User AJackson resumed editing \\Server\Sales\Forecast_2025.xlsx
2025-06-28,11:39:00,Information,Security,4672,Special Logon,User KRivera Special privileges assigned to new logon.
2025-06-28,12:04:00,Information,Security,4634,Logoff,User MLopez logged back in after lunch.
2025-06-28,12:18:00,Information,Security,4663,Object Access,User JohnDoe resumed editing \\Server\Finance\Q2_Report.xlsx
2025-06-28,12:30:00,Information,Security,4672,Special Logon,User KRivera saved updates to \\Server\Legal\Contract_Template.docx
2025-06-28,12:56:00,Information,Security,4634,Logoff,User JaneSmith accessed internal wiki for project details.
2025-06-28,13:17:00,Information,Security,4624,Logon,User KRivera resumed editing \\Server\Finance\Q2_Report.xlsx
2025-06-28,13:19:00,Information,Security,4634,Logoff,User AJackson Special privileges assigned to new logon.
2025-06-28,13:24:00,Information,Security,4634,Logoff,User AJackson resumed editing \\Server\HR\Employee_Handbook.pdf
2025-06-28,13:54:00,Information,Security,4624,Logon,User JaneSmith logged off for lunch.
2025-06-28,14:15:00,Information,Security,4672,Special Logon,User MLopez logged back in after lunch.
2025-06-28,14:33:00,Information,Security,4634,Logoff,User JaneSmith Special privileges assigned to new logon.
2025-06-28,14:41:00,Information,Security,4672,Special Logon,User AJackson Special privileges assigned to new logon.
2025-06-28,14:52:00,Information,Security,4672,Special Logon,User MLopez logged on successfully.
2025-06-28,15:11:00,Information,Security,4663,Object Access,User MLopez logged back in after lunch.
2025-06-28,15:23:00,Information,Security,4663,Object Access,User JaneSmith logged on successfully.
2025-06-28,15:28:00,Information,Security,4672,Special Logon,User KRivera accessed internal wiki for project details.
2025-06-28,15:29:00,Information,Security,4663,Object Access,User JohnDoe logged back in after lunch.
2025-06-28,15:56:00,Information,Security,4634,Logoff,User JohnDoe opened CRM application to update client records.
2025-06-28,16:14:00,Information,Security,4672,Special Logon,User MLopez logged back in after lunch.
2025-06-28,16:16:00,Information,Security,4634,Logoff,User KRivera Special privileges assigned to new logon.
2025-06-28,16:33:00,Information,Security,4634,Logoff,User JohnDoe logged off for lunch.
2025-06-28,16:37:00,Information,Security,4624,Logon,User KRivera downloaded a training manual from the company intranet.
2025-06-28,16:59:00,Information,Security,4672,Special Logon,User KRivera resumed editing \\Server\Sales\Forecast_2025.xlsx
2025-06-28,17:28:00,Information,Security,4672,Special Logon,User MLopez saved updates to \\Server\Legal\Contract_Template.docx
2025-06-28,17:45:00,Information,Security,4634,Logoff,User KRivera accessed internal wiki for project details.
2025-06-28,18:09:00,Information,Security,4672,Special Logon,User MLopez logged on successfully.
2025-06-28,18:10:00,Information,Security,4634,Logoff,User JohnDoe accessed shared presentation \\Server\Finance\Q2_Report.xlsx
2025-06-28,18:37:00,Information,Security,4634,Logoff,User KRivera logged on successfully.
2025-06-28,18:50:00,Information,Security,4663,Object Access,User JaneSmith edited sales forecast spreadsheet \\Server\Finance\Q2_Report.xlsx
2025-06-28,19:03:00,Information,Security,4624,Logon,User JohnDoe edited sales forecast spreadsheet \\Server\Finance\Q2_Report.xlsx
2025-06-28,19:21:00,Information,Security,4672,Special Logon,User MLopez accessed shared presentation \\Server\HR\Employee_Handbook.pdf
2025-06-28,19:47:00,Information,Security,4624,Logon,User KRivera logged back in after lunch.
2025-06-28,19:49:00,Information,Security,4624,Logon,User AJackson saved updates to \\Server\Sales\Forecast_2025.xlsx
2025-06-28,20:17:00,Information,Security,4663,Object Access,User KRivera accessed shared presentation \\Server\Finance\Q2_Report.xlsx
2025-06-28,20:30:00,Information,Security,4624,Logon,User MLopez downloaded a training manual from the company intranet.
2025-06-28,20:58:00,Information,Security,4624,Logon,User KRivera logged back in after lunch.
2025-06-28,21:25:00,Information,Security,4624,Logon,User KRivera logged back in after lunch.
2025-06-28,21:50:00,Information,Security,4672,Special Logon,User AJackson opened CRM application to update client records.
2025-06-28,22:09:00,Information,Security,4663,Object Access,User JaneSmith logged off for lunch.
2025-06-28,22:28:00,Information,Security,4663,Object Access,User AJackson edited sales forecast spreadsheet \\Server\HR\Employee_Handbook.pdf
2025-06-28,22:57:00,Information,Security,4634,Logoff,User JaneSmith edited sales forecast spreadsheet \\Server\Finance\Q2_Report.xlsx
2025-06-28,23:12:00,Information,Security,4634,Logoff,User KRivera downloaded a training manual from the company intranet.
2025-06-28,23:40:00,Information,Security,4663,Object Access,User MLopez Special privileges assigned to new logon.
2025-06-29,00:04:00,Information,Security,4672,Special Logon,User JaneSmith resumed editing \\Server\Marketing\Product_Launch_Deck.pptx
2025-06-29,00:11:00,Information,Security,4663,Object Access,User MLopez accessed shared presentation \\Server\Sales\Forecast_2025.xlsx
2025-06-29,00:14:00,Information,Security,4663,Object Access,User JohnDoe logged on successfully.
2025-06-29,00:17:00,Information,Security,4634,Logoff,User JohnDoe edited sales forecast spreadsheet \\Server\Sales\Forecast_2025.xlsx
2025-06-29,00:31:00,Information,Security,4624,Logon,User KRivera logged off and ended session.
2025-06-29,00:39:00,Information,Security,4663,Object Access,User KRivera saved updates to \\Server\Finance\Q2_Report.xlsx
2025-06-29,00:52:00,Information,Security,4634,Logoff,User KRivera resumed editing \\Server\Legal\Contract_Template.docx
2025-06-29,01:10:00,Information,Security,4663,Object Access,User AJackson accessed shared presentation \\Server\Marketing\Product_Launch_Deck.pptx
2025-06-29,01:19:00,Information,Security,4634,Logoff,User JohnDoe logged on successfully.
2025-06-29,01:37:00,Information,Security,4624,Logon,User KRivera opened CRM application to update client records.
2025-06-29,01:53:00,Information,Security,4663,Object Access,User JohnDoe resumed editing \\Server\Sales\Forecast_2025.xlsx
2025-06-29,01:56:00,Information,Security,4634,Logoff,User JaneSmith downloaded a training manual from the company intranet.
2025-06-29,02:06:00,Information,Security,4672,Special Logon,User MLopez accessed internal wiki for project details.
2025-06-29,02:08:00,Information,Security,4672,Special Logon,User MLopez opened CRM application to update client records.
2025-06-29,02:13:00,Information,Security,4672,Special Logon,User JaneSmith downloaded a training manual from the company intranet.
2025-06-29,02:30:00,Information,Security,4672,Special Logon,User MLopez resumed editing \\Server\HR\Employee_Handbook.pdf
2025-06-29,02:43:00,Information,Security,4624,Logon,User JohnDoe logged off for lunch.
